"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9023","Проверка текста ответа на вопрос №5","tests","2026-05-30","passed","2026-05-30","TestFAQ","test_faq","",""
"","13517","Открытие Дзена по логотипу Яндекса в новом окне","tests","2026-05-30","passed","2026-05-30","TestLogos","test_logo","",""
"","11167","Проверка текста ответа на вопрос №6","tests","2026-05-30","passed","2026-05-30","TestFAQ","test_faq","",""
"","18983","Проверка текста ответа на вопрос №1","tests","2026-05-30","passed","2026-05-30","TestFAQ","test_faq","",""
"","13908","Оформление заказа самоката через кнопку top","tests","2026-05-30","passed","2026-05-30","TestOrder","test_order","",""
"","11284","Проверка текста ответа на вопрос №3","tests","2026-05-30","passed","2026-05-30","TestFAQ","test_faq","",""
"","4926","Переход на главную по логотипу Самокат с другой страницы","tests","2026-05-30","passed","2026-05-30","TestLogos","test_logo","",""
"","11159","Проверка текста ответа на вопрос №7","tests","2026-05-30","passed","2026-05-30","TestFAQ","test_faq","",""
"","20332","Проверка текста ответа на вопрос №0","tests","2026-05-30","passed","2026-05-30","TestFAQ","test_faq","",""
"","12134","Оформление заказа самоката через кнопку bottom","tests","2026-05-30","passed","2026-05-30","TestOrder","test_order","",""
"","10719","Проверка текста ответа на вопрос №2","tests","2026-05-30","passed","2026-05-30","TestFAQ","test_faq","",""
"","14090","Проверка текста ответа на вопрос №4","tests","2026-05-30","passed","2026-05-30","TestFAQ","test_faq","",""
